"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2023,2,8,"Nou Barris",51,"Verdun","Total. Milers d'euros","151.8"
2023,2,8,"Nou Barris",52,"la Prosperitat","Total. Milers d'euros","169.9"
2023,2,8,"Nou Barris",53,"la Trinitat Nova","Total. Milers d'euros","96.4"
2023,2,8,"Nou Barris",54,"Torre Baró","Total. Milers d'euros","100.1"
2023,2,8,"Nou Barris",55,"Ciutat Meridiana","Total. Milers d'euros","108.4"
2023,2,8,"Nou Barris",56,"Vallbona","Total. Milers d'euros","130.0"
2023,2,9,"Sant Andreu",57,"la Trinitat Vella","Total. Milers d'euros","152.4"
2023,2,9,"Sant Andreu",58,"Baró de Viver","Total. Milers d'euros","--"
2023,2,9,"Sant Andreu",59,"el Bon Pastor","Total. Milers d'euros","163.6"
2023,2,9,"Sant Andreu",60,"Sant Andreu","Total. Milers d'euros","340.7"
2023,2,9,"Sant Andreu",61,"la Sagrera","Total. Milers d'euros","226.3"
2023,2,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Milers d'euros","253.8"
2023,2,9,"Sant Andreu",63,"Navas","Total. Milers d'euros","226.9"
2023,2,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Milers d'euros","282.4"
2023,2,10,"Sant Martí",65,"el Clot","Total. Milers d'euros","260.0"
2023,2,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros","322.9"
2023,2,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros","460.4"
2023,2,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros","397.8"
2023,2,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros","425.0"
2023,2,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros","192.8"
2023,2,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros","252.9"
2023,2,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Milers d'euros","198.9"
2023,2,10,"Sant Martí",73,"la Verneda i la Pau","Total. Milers d'euros","173.1"
2023,2,1,"Ciutat Vella",1,"el Raval","Nou. Milers d'euros","--"
2023,2,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Milers d'euros","295.5"
2023,2,1,"Ciutat Vella",3,"la Barceloneta","Nou. Milers d'euros","168.8"
2023,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Milers d'euros","403.3"
2023,2,2,"Eixample",5,"el Fort Pienc","Nou. Milers d'euros","--"
2023,2,2,"Eixample",6,"la Sagrada Família","Nou. Milers d'euros","236.6"
2023,2,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Milers d'euros","873.6"
2023,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Milers d'euros","470.1"
2023,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Milers d'euros","317.2"
2023,2,2,"Eixample",10,"Sant Antoni","Nou. Milers d'euros","--"
2023,2,3,"Sants-Montjuïc",11,"el Poble Sec","Nou. Milers d'euros","--"
2023,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nou. Milers d'euros","--"
2023,2,3,"Sants-Montjuïc",13,"la Marina de Port","Nou. Milers d'euros","217.0"
2023,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nou. Milers d'euros","--"
2023,2,3,"Sants-Montjuïc",15,"Hostafrancs","Nou. Milers d'euros","188.3"
2023,2,3,"Sants-Montjuïc",16,"la Bordeta","Nou. Milers d'euros","363.9"
2023,2,3,"Sants-Montjuïc",17,"Sants - Badal","Nou. Milers d'euros","525.0"
2023,2,3,"Sants-Montjuïc",18,"Sants","Nou. Milers d'euros","185.0"
2023,2,4,"Les Corts",19,"les Corts","Nou. Milers d'euros","492.7"
2023,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nou. Milers d'euros","--"
2023,2,4,"Les Corts",21,"Pedralbes","Nou. Milers d'euros","--"
2023,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nou. Milers d'euros","--"
2023,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nou. Milers d'euros","--"
2023,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nou. Milers d'euros","--"
2023,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nou. Milers d'euros","943.0"
2023,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nou. Milers d'euros","748.7"
2023,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nou. Milers d'euros","--"
2023,2,6,"Gràcia",28,"Vallcarca i els Penitents","Nou. Milers d'euros","399.9"
2023,2,6,"Gràcia",29,"el Coll","Nou. Milers d'euros","221.1"
2023,2,6,"Gràcia",30,"la Salut","Nou. Milers d'euros","--"
2023,2,6,"Gràcia",31,"la Vila de Gràcia","Nou. Milers d'euros","--"
2023,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Milers d'euros","265.0"
2023,2,7,"Horta-Guinardó",34,"Can Baró","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",35,"el Guinardó","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",37,"el Carmel","Nou. Milers d'euros","156.4"
2023,2,7,"Horta-Guinardó",38,"la Teixonera","Nou. Milers d'euros","277.6"
2023,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Milers d'euros","214.9"
2023,2,7,"Horta-Guinardó",40,"Montbau","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",42,"la Clota","Nou. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",43,"Horta","Nou. Milers d'euros","357.8"
2023,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",45,"Porta","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",46,"el Turó de la Peira","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",47,"Can Peguera","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",48,"la Guineueta","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",49,"Canyelles","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",50,"les Roquetes","Nou. Milers d'euros","--"
2023,2,8,"Nou Barris",51,"Verdun","Nou. Milers d'euros","--"
