Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,4,10,3,Sants-Montjuïc,13,la Marina de Port,2539.1,2348,,,,,49.6,83.9,,,,17.6
2014,4,11,3,Sants-Montjuïc,13,la Marina de Port,2539.1,2306,,,,,49.6,83.9,,,,17.6
2014,4,12,3,Sants-Montjuïc,13,la Marina de Port,2539.1,2292,,,,,49.6,83.9,,,,17.6
2014,1,1,3,Sants-Montjuïc,14,la Font de la Guatlla,2216.6,878,,,,,49.6,81.7,,,,17.6
2014,1,2,3,Sants-Montjuïc,14,la Font de la Guatlla,2216.6,852,,,,,49.6,81.7,,,,17.6
2014,1,3,3,Sants-Montjuïc,14,la Font de la Guatlla,2216.6,849,,,,,49.6,81.7,,,,17.6
2014,2,4,3,Sants-Montjuïc,14,la Font de la Guatlla,1961.9,839,,,,,49.6,81.7,,,,17.6
2014,2,5,3,Sants-Montjuïc,14,la Font de la Guatlla,1961.9,806,,,,,49.6,81.7,,,,17.6
2014,2,6,3,Sants-Montjuïc,14,la Font de la Guatlla,1961.9,789,,,,,49.6,81.7,,,,17.6
2014,3,7,3,Sants-Montjuïc,14,la Font de la Guatlla,2765.2,803,,,,,49.6,81.7,,,,17.6
2014,3,8,3,Sants-Montjuïc,14,la Font de la Guatlla,2765.2,795,,,,,49.6,81.7,,,,17.6
2014,3,9,3,Sants-Montjuïc,14,la Font de la Guatlla,2765.2,782,,,,,49.6,81.7,,,,17.6
2014,4,10,3,Sants-Montjuïc,14,la Font de la Guatlla,2848.5,794,,,,,49.6,81.7,,,,17.6
2014,4,11,3,Sants-Montjuïc,14,la Font de la Guatlla,2848.5,794,,,,,49.6,81.7,,,,17.6
2014,4,12,3,Sants-Montjuïc,14,la Font de la Guatlla,2848.5,788,,,,,49.6,81.7,,,,17.6
2014,1,1,3,Sants-Montjuïc,15,Hostafrancs,1958.8,1047,,,,,49.6,83.7,,,,17.6
2014,1,2,3,Sants-Montjuïc,15,Hostafrancs,1958.8,1046,,,,,49.6,83.7,,,,17.6
2014,1,3,3,Sants-Montjuïc,15,Hostafrancs,1958.8,1033,,,,,49.6,83.7,,,,17.6
2014,2,4,3,Sants-Montjuïc,15,Hostafrancs,2589.6,1037,,,,,49.6,83.7,,,,17.6
2014,2,5,3,Sants-Montjuïc,15,Hostafrancs,2589.6,1007,,,,,49.6,83.7,,,,17.6
2014,2,6,3,Sants-Montjuïc,15,Hostafrancs,2589.6,999,,,,,49.6,83.7,,,,17.6
2014,3,7,3,Sants-Montjuïc,15,Hostafrancs,2614.3,994,,,,,49.6,83.7,,,,17.6
2014,3,8,3,Sants-Montjuïc,15,Hostafrancs,2614.3,1011,,,,,49.6,83.7,,,,17.6
2014,3,9,3,Sants-Montjuïc,15,Hostafrancs,2614.3,999,,,,,49.6,83.7,,,,17.6
2014,4,10,3,Sants-Montjuïc,15,Hostafrancs,2860.9,1007,,,,,49.6,83.7,,,,17.6
2014,4,11,3,Sants-Montjuïc,15,Hostafrancs,2860.9,990,,,,,49.6,83.7,,,,17.6
2014,4,12,3,Sants-Montjuïc,15,Hostafrancs,2860.9,976,,,,,49.6,83.7,,,,17.6
2014,1,1,3,Sants-Montjuïc,16,la Bordeta,2359.3,1228,,,,,49.6,83.8,,,,17.6
2014,1,2,3,Sants-Montjuïc,16,la Bordeta,2359.3,1227,,,,,49.6,83.8,,,,17.6
2014,1,3,3,Sants-Montjuïc,16,la Bordeta,2359.3,1212,,,,,49.6,83.8,,,,17.6
2014,2,4,3,Sants-Montjuïc,16,la Bordeta,2105.4,1217,,,,,49.6,83.8,,,,17.6
2014,2,5,3,Sants-Montjuïc,16,la Bordeta,2105.4,1181,,,,,49.6,83.8,,,,17.6
2014,2,6,3,Sants-Montjuïc,16,la Bordeta,2105.4,1171,,,,,49.6,83.8,,,,17.6
2014,3,7,3,Sants-Montjuïc,16,la Bordeta,2347.8,1166,,,,,49.6,83.8,,,,17.6
2014,3,8,3,Sants-Montjuïc,16,la Bordeta,2347.8,1186,,,,,49.6,83.8,,,,17.6
2014,3,9,3,Sants-Montjuïc,16,la Bordeta,2347.8,1171,,,,,49.6,83.8,,,,17.6
2014,4,10,3,Sants-Montjuïc,16,la Bordeta,2280.9,1180,,,,,49.6,83.8,,,,17.6
2014,4,11,3,Sants-Montjuïc,16,la Bordeta,2280.9,1161,,,,,49.6,83.8,,,,17.6
